company_url,company_name,activity,company_linked_in,company_founding_year,company_employees,person_full_name,person_job_title,person_url,company_title,company_description,company_content,company_main_terms,company_detailed_terms,stats
www.dolphinvision.net/,Dolphin Vision,Corona-free Air Conditioning System for Transportation and Buildings,https://www.linkedin.com/company/dolphin-vision/,2018,1-10,Gennady Simanovsky,Founder,https://www.linkedin.com/in/gennadysimanovsky/,Dolphin Vision,Corona-free Air Conditioning System for Transportation and Buildings,"
About
Dolphin Vision is the developer of the A12 and A3 Solutions, patented systems designed to keep all types of public transportation, elevators, and buildings free from bacteria and viruses, including the COVID-19 virus. The Dolphin Vision solution contains the A1 bio spray to deactivate infected airborne particles and the A3 UVC LED chain technology for purifying HVAC systems.
","Maintenance Services,, Safety & Training","Safety & Training,Maintenance Services,Commercial,General,Hospitality,Industrial,Retail,

                                                CleanTech                                            
,

                                                covid-19                                            
,

                                                elevator                                            
,

                                                filtration-and-purification                                            
,

                                                transportation                                            
","{'Year Founded': '2018', 'Total Raised': '78,5K', 'Funding Stage': 'Pre-Seed', 'Employees': '1-10', 'Country': 'Israel', 'Operation area': 'Asia,Europe', 'HQ Address': 'Yosef Nedava Street 6, Jerusalem'}"
www.fieldbit.net/,Fieldbit,"Enterprise grade, real-time software for hands-free field service collaboration using augmented reality and smart glasses.",https://twitter.com/Fieldbit_AR,2013,11-50,Evyatar Meiron,Founder,https://www.linkedin.com/in/emeiron/,Fieldbit,"Enterprise grade, real-time software for hands-free field service collaboration using augmented reality and smart glasses.","
About
Fieldbit is an augmented-reality (AR) multi-source knowledge platform for field service, providing remote assistance and work instructions to support industrial assets at remote sites. The AR platform offers field service technicians rich real-time information and guidance through interactive collaboration with experts and digital resources, enabling them to solve critical problems effectively.
This capability is useful for enterprises that spend time, money, and resources sending technicians from around the world to service remote locations. By empowering on-site teams to resolve issues via fast, easy, and reliable access to AR remote assistance, Fieldbit reduces the need for technician visits and helps businesses save substantially. This helps increase first-time fixes and reduces downtime.
Fieldbit’s multi-source field service knowledge platform provides five sources of information and expertise that richly benefit field service technicians, enabling them to achieve results more effectively and efficiently. It provides subject-matter experts, accumulated organizational knowledge, step-by-step procedures, IIoT real-time data, field service management software, and back-office solutions.
","Management & Collaboration Tools,, On-Site Execution,, Plan & Build,, Planning & Design Tools,, Safety & Training,, Virtual Tours","Virtual Tours,Safety & Training,Planning & Design Tools,Plan & Build,On-Site Execution,Management & Collaboration Tools,General,

                                                Augmented Reality                                            
,

                                                Consumer Electronics                                            
,

                                                SaaS                                            
,

                                                smart-glasses                                            
,

                                                workforce management                                            
","{'Year Founded': '2013', 'Total Raised': '2.8M', 'Funding Stage': 'A', 'Employees': '11-50', 'Country': 'Germany,Israel,Netherlands,United States', 'Operation area': 'Germany,Israel,Netherlands,United States', 'HQ Address': ""HaTidhar Street 15, Ra'anana, Israel"", 'Other Offices': 'Netherlands, USA, Germany'}"
beamup.ai/,BeamUP,Re-Imagining Architectural & Building System Design,https://www.linkedin.com/company/beamup/about/,2019,11-50,Stephane Levy,Founder,https://www.linkedin.com/in/stephane-levy-3055b5180/,BeamUP,Re-Imagining Architectural & Building System Design,"
About
BeamUP is developing AI-powered software that will enable architects and engineers to design buildings with speed, intelligence, and optimization while also reducing expenses.
","Advanced Building Methods,, Plan & Build,, Planning & Design Tools,, Safety & Training,, Smart Building","Smart Building,Safety & Training,Planning & Design Tools,Plan & Build,Advanced Building Methods,General,

                                                architecture                                            
,

                                                Artificial Intelligence                                            
,

                                                Interior Design                                            
","{'Year Founded': '2019', 'Total Raised': '', 'Funding Stage': 'Pre-Seed', 'Employees': '11-50', 'Country': 'Israel', 'Operation area': 'Global', 'HQ Address': ""Se'adya Ga'on St 24, Tel Aviv-Yafo""}"
www.xeniago.com/,XENIA,Xenia is an automatic design tool that generates optimal floor plans in real time.,https://www.linkedin.com/company/beamup/about/,2017,1-10,Shmulik Bilgoray,Founder,https://www.linkedin.com/in/shmulik-bilgoray-502177b9/,XENIA,Xenia is an automatic design tool that generates optimal floor plans in real time.,"
About
Xenia is an intelligent architectural design platform that automatically generates the optimal floor plan for any retail space. By learning the goals, preferences, and constraints of stores, Xenia creates floor plans that can be customized in real time, helping planners make data-based decisions to streamline and expedite the design process.
","Indoor Navigation,, Plan & Build,, Planning & Design Tools,, Smart Building,, Virtual Tours","Virtual Tours,Smart Building,Planning & Design Tools,Plan & Build,Indoor Navigation,Retail,

                                                architecture                                            
,

                                                Artificial Intelligence                                            
,

                                                Cloud                                            
,

                                                Interior Design                                            
,

                                                Machine Learning                                            
,

                                                SaaS                                            
","{'Year Founded': '2017', 'Total Raised': '600K', 'Funding Stage': 'Seed', 'Employees': '1-10', 'Country': 'Israel', 'Operation area': 'Global', 'HQ Address': 'Tuval Street 26, Ramat Gan, Israel'}"
hito-systems.com/,HITO Systems,Professional Compliance and Regulatory Software,https://www.linkedin.com/company/hito-system-ltd/,2016,1-10,Tania Yalensky,Co-Founder,https://www.linkedin.com/in/taniayalensky/,HITO Systems,Professional Compliance and Regulatory Software,"
About


HITO Systems offers web-based and mobile enterprise solutions that integrate into clients’ operations and can be used for a variety of different business processes. The company’s goal is to reduce risk, while improving visibility among key aspects of clients’ business processes and performance.










","Manage & Operate,, Management & Collaboration Tools,, Operational Data & Analytics,, Safety & Training","Safety & Training,Operational Data & Analytics,Management & Collaboration Tools,Manage & Operate,General,

                                                Cloud                                            
,

                                                compliance                                            
,

                                                Data Analytics                                            
,

                                                enterprise-solution                                            
,

                                                monitoring                                            
,

                                                Project management                                            
,

                                                SaaS                                            
","{'Year Founded': '2016', 'Total Raised': '', 'Funding Stage': 'Bootstrapped', 'Employees': '1-10', 'Country': 'Israel', 'Operation area': 'Global', 'HQ Address': 'Batsra, Israel'}"
maxweb.co.il/,MAXweb,MaxWeb customizes information systems for customer requirement at all environments: whether a local network or a multi-user environment.,https://www.linkedin.com/company/maxweb-ltd/,2004,1-10,Zohar Bazak,,https://www.linkedin.com/in/zoharbazak/,MAXweb,MaxWeb customizes information systems for customer requirement at all environments: whether a local network or a multi-user environment.,"
About
MAXweb is developing software solutions for companies in the fields of civil engineering and project management.
The company’s product portfolio includes several off-the-shelf softwares. MAXPRO is an integrated information system for effective management and control of engineering projects. MAXSRV is maintenance management software. Lastly, MAX360 is a suite of complementary modules for water engineering projects.
","Management & Collaboration Tools,, Plan & Build","Plan & Build,Management & Collaboration Tools,General,

                                                building maintenance                                            
,

                                                civil engineering                                            
,

                                                Cloud                                            
,

                                                enterprise-solution                                            
,

                                                Project management                                            
","{'Year Founded': '2004', 'Total Raised': '', 'Funding Stage': 'Revenue Financed', 'Employees': '1-10', 'Country': 'Israel', 'Operation area': 'Israel', 'HQ Address': ""Mota Gur Street 4, Petah Tikva, Israel HaZor'im, Israel""}"
onsight.tech/,OnSight,3D Technology for the Surveying and Mapping Industries,https://www.linkedin.com/company/onsightech/,2019,1-10,Eldad Erez,Co-Founder,https://www.linkedin.com/in/eldad-erez-7a31bb148/,OnSight,3D Technology for the Surveying and Mapping Industries,"
About
OnSight is developing a 3D technology for the surveying and mapping industries.
For that purpose, OnSight has partnered with Pinkas Group, a surveying and mapping company in Israel.
OnSight’s current services include scanning buildings and outdoor environments with high accuracy using the most advanced 3D technology. As an added value, a virtual tour of the scanned space is produced, as well as integration with GIS applications.
OnSight’s submitted models are approved by senior land surveyors and can serve various surveying and mapping use cases.
","Advanced Building Methods,, On-Site Execution,, Plan & Build,, Planning & Design Tools,, Smart Building","Smart Building,Planning & Design Tools,Plan & Build,On-Site Execution,Advanced Building Methods,Commercial,General,Industrial,

                                                3D Modeling                                            
,

                                                ConTech                                            
,

                                                Mapping                                            
,

                                                scanning                                            
","{'Year Founded': '2019', 'Total Raised': '', 'Funding Stage': 'Bootstrapped', 'Employees': '1-10', 'Country': 'Israel', 'Operation area': 'Israel', 'HQ Address': 'Kibbutz Hahotrim, Israel'}"
www.conqum.com/about_eng,Conqum,Conqum specializes in providing construction management system solutions.,https://www.linkedin.com/company/conqum-systems-ltd/,2016,1-10,Miki Yogev,Founder,,Conqum,Conqum specializes in providing construction management system solutions.,"
About
Conqum’s advanced inspector assistance systems technology is deployed in more than 200 projects and integrated into hundreds of new users from Israel. Conqum began with the vision of reducing construction flaws resulting injuries and fatalities, losses of great money and reputation hit. Today, Conqum makes one of the most advanced flaws avoidance systems on the market, while working toward international engagement. This technology can be installed in almost any project and offers numerous alerts in one system, helping the inspector or contractor to combat distracted thinking and lack of important professional knowledge. A world with better construction doesn’t have to be in the distant future. By harnessing the power of community to reverse negative trends in construction, Conqum can create a world where building flaws are history.
","Management & Collaboration Tools,, On-Site Execution,, Plan & Build,, Planning & Design Tools,, Safety & Training","Safety & Training,Planning & Design Tools,Plan & Build,On-Site Execution,Management & Collaboration Tools,Commercial,General,

                                                Cloud                                            
,

                                                ConTech                                            
,

                                                Data Analytics                                            
,

                                                Real-time                                            
,

                                                task-management                                            
","{'Year Founded': '2016', 'Total Raised': '', 'Funding Stage': 'Bootstrapped', 'Employees': '1-10', 'Country': 'Israel', 'Operation area': 'Israel', 'HQ Address': 'Derech Akko 47, Kiryat Motzkin, Israel'}"
www.rodradar.com/,RodRadar,Obstacle Detection Sensors for the Construction Industry,https://www.linkedin.com/company/rodradar/,2011,11-50,Moshe Dalman,Founder,https://www.linkedin.com/in/moshedalman/,RodRadar,Obstacle Detection Sensors for the Construction Industry,"
About

RodRadar develops sensing solutions for the construction industry, with a focus on safety and efficiency. The company’s solutions are capable of detecting obstacles in challenging environments and conditions.






","On-Site Execution,, Plan & Build,, Planning & Design Tools,, Safety & Training","Safety & Training,Planning & Design Tools,Plan & Build,On-Site Execution,General,

                                                Artificial Intelligence                                            
,

                                                ConTech                                            
,

                                                Robotics                                            
,

                                                Safety                                            
,

                                                Security                                            
,

                                                Sensors                                            
","{'Year Founded': '2011', 'Total Raised': '10-20M', 'Funding Stage': 'Revenue Financed', 'Employees': '11-50', 'Country': 'Israel', 'HQ Address': 'Derekh ha-Rimonim 59, Rinatya, Israel'}"
www.locusview.com/,Locusview,Our digital infrastructure construction platform manages the entire construction process from planning to revenue.,https://www.linkedin.com/company/locusview/,2014,1-10,Shahar Levi,Co-Founder,https://www.linkedin.com/in/shahar-levi-79462222/,Locusview,Our digital infrastructure construction platform manages the entire construction process from planning to revenue.,"
About
Locusview equips energy, telecom, and water companies with a digital construction management platform to help manage infrastructure capital projects from planning to revenue.
Locusview’s solution enables all stakeholders and contractors to streamline data flow and thereby manage the three crucial phases of infrastructure construction projects: planning, construction, and closeout. Results include a high-fidelity digital twin, improved operational awareness, and CapEx optimization.ppro
","Advanced Building Methods,, Construction Marketplaces,, Management & Collaboration Tools,, Plan & Build,, Planning & Design Tools,, Smart Building","Smart Building,Planning & Design Tools,Plan & Build,Management & Collaboration Tools,Construction Marketplaces,Advanced Building Methods,General,

                                                Big Data                                            
,

                                                energy                                            
,

                                                infrastructure                                            
,

                                                Management-solutions                                            
,

                                                Mapping                                            
,

                                                Project management                                            
,

                                                Smart City                                            
","{'Year Founded': '2014', 'Total Raised': '80M', 'Funding Stage': 'A', 'Employees': '1-10', 'Country': 'India,Israel,Mexico,United Kingdom,United States', 'Operation area': 'Global', 'HQ Address': 'Arieh Shenkar Street 9, Herzliya, Israel', 'Other Offices': 'US, UK, Australia, Mexico, India'}"
www.neocomposite.com/,Neo Composite,Neo Composite provides mass production of composite materials for traditional markets.,https://www.linkedin.com/company/neo-composite-ltd/about/?viewAsMember=true,2012,1-10,Rudi Lokits,Co-Founder,https://www.linkedin.com/in/rudi-lokits/,Neo Composite,Neo Composite provides mass production of composite materials for traditional markets.,"
About


Neo Composite Ltd creates HIGH END, innovative Composite Materials in order to improve and MODERNIZE products in a wide range of industries and markets Our innovative R&D enable us to create cutting-edge materials, yet with competitive prices. OUR CUSTOMERS GAIN the ability to replace traditional materials to enhance their efficiency, market position and bottom line Synergizing with our leading-edge composite materials, CUSTOM-TAILORED solutions and MASS-PRODUCTION capacity, our customers, worldwide, are able to achieve significant advantages in their chosen markets Neo Composite is looking for CLIENTS as well as DISTRIBUTORS worldwide Samples of our materials & applications:
CONSTRUCTION: Insulated panels for Walls & Roofs, Cladding, Scaffolding I
NFRASTRUCTURE : Acoustic / Sound Barrier Walls, Flood barriers
TRANSPORTATION- LAND: Trucks & Trailer : walls & flooring
TRANSPORTATION-SEA: Sea container panels walls & flooring
TRANSPORTATION- AIR : Air flight Containers, Flight case
CONSUMER GOODS: Stages, Suitcases, Tool Box, Table top
INDUSTRY: UD tape, STOP UV coating film, UD tape for RTP&GRP pipes
MARINE : Kayak, Boats, Sup (stand up paddle), Ship upper deck
DEFENCE: Armored vehicles protection, Helmets, Shields, Radome



","Advanced Building Methods,, Construction Marketplaces,, Plan & Build,, Planning & Design Tools","Planning & Design Tools,Plan & Build,Construction Marketplaces,Advanced Building Methods,Industrial,

                                                Cargo                                            
,

                                                composite-materials                                            
,

                                                construction materials                                            
,

                                                containers                                            
,

                                                ConTech                                            
,

                                                packaging                                            
,

                                                sustainability                                            
,

                                                transportation                                            
","{'Year Founded': '2012', 'Total Raised': '', 'Funding Stage': 'Bootstrapped', 'Employees': '1-10', 'Country': 'Israel,Netherlands,United States', 'Operation area': 'Global', 'HQ Address': 'Bialik St 155, Ramat Gan, Israel', 'Other Offices': 'USA & NL'}"
www.iform.co.il/,iForm,I-Form Technologies Ltd. is engaged in the development of construction execution technologies.,https://www.facebook.com/formingthefuture/,2018,1-10,Yigal Babluki,Founder,https://www.linkedin.com/in/i-form/,iForm,I-Form Technologies Ltd. is engaged in the development of construction execution technologies.,"
About









Innovative technology


I-form aims to develop technological solutions for the full industrialization of the conventional construction process.
Our technology enables advanced construction for projects of any size, for any construction company and any execution contractor, without the need for unique design or the establishment of external plants, and without regulatory and engineering restrictions.


Smart Lost Templates


The advanced molds we have developed make the entire construction process, from the “execution planning” stage to the wet finishing stage. We provide packages that meet all the constructive and architectural requirements in the project. In addition to the templates adapted to the project, the package includes special cladding boards and screws for attaching them












Accurate planning


Our software analyzes the construction plans and breaks down the structure into pre-assembled parts, and then, to connect to the “thorns” of the floor. The smart templates allow for precise design through which we provide a “custom suit” for each project.


Promoting innovation in the construction industry


The great competition and the uncertainty about profitability, lead the position holders in the industry to short-term thinking and conservatism.
By increasing the profit for contractors and developers, while lowering the total cost of the project, we can ensure certainty and thus increase the adoption of innovative technologies.
























","Advanced Building Methods,, Plan & Build,, Planning & Design Tools,, Smart Building","Smart Building,Planning & Design Tools,Plan & Build,Advanced Building Methods,Commercial,General,Residential,

                                                ConTech                                            
,

                                                Planning                                            
,

                                                Smart Building                                            
","{'Year Founded': '2018', 'Total Raised': '', 'Funding Stage': 'NA', 'Employees': '1-10', 'Country': 'Israel', 'Operation area': 'Israel', 'HQ Address': '26 Hill Street Even Yehuda, 4054520'}"
www.foldstruct.com/,Foldstruct,"Foldstruct bridges the gap between iconic design and feasible fabrication, allowing complex forms to be created using robotic fabrication",https://www.linkedin.com/company/foldstruct/,2018,1-10,Tal Friedman,Founder,https://www.linkedin.com/in/tal-friedman-778a7a53/,Foldstruct,"Foldstruct bridges the gap between iconic design and feasible fabrication, allowing complex forms to be created using robotic…","
About
Foldstruct is a new way of thinking about construction. Designed from the inside out, Foldstruct’s designs are not merely a form of taste, but an equation of mathematical equilibrium meant for cost effective and energy efficient manufacturing. Using unique patented algorithms and a digital fabrication method, free forms can be adapted to architecture and engineering on various scales and transform the way we think about a building or about a city.
Foldstruct’s mission is to free architecture from cubical repetitiveness s and allow freeform for the masses, and not for the rich only. We want to change the way streets looks, and treat every building as an icon waiting to happen.
​
","Advanced Building Methods,, Plan & Build,, Planning & Design Tools,, Smart Building","Smart Building,Planning & Design Tools,Plan & Build,Advanced Building Methods,Commercial,Residential,

                                                Artificial Intelligence                                            
,

                                                Robotics                                            
,

                                                Smart Building                                            
","{'Year Founded': '2018', 'Total Raised': '1.8M', 'Funding Stage': 'NA', 'Employees': '1-10', 'Country': 'Israel,United States', 'Operation area': 'United States', 'HQ Address': 'Tel Aviv'}"
